name,gender,medal_type,country,event,discipline,url
CINTI Lucio,Male,Bronze ,Argentina,Men,Rugby Sevens,../../../en/results/rugby-sevens/athlete-profile-n1362765-cinti-lucio.htm
MENDY Ignacio,Male,Bronze ,Argentina,Men,Rugby Sevens,../../../en/results/rugby-sevens/athlete-profile-n1362766-mendy-ignacio.htm
SCHULZ German,Male,Bronze ,Argentina,Men,Rugby Sevens,../../../en/results/rugby-sevens/athlete-profile-n1362769-schulz-german.htm
ISGRO Rodrigo,Male,Bronze ,Argentina,Men,Rugby Sevens,../../../en/results/rugby-sevens/athlete-profile-n1362773-isgro-rodrigo.htm
MILAK Kristof,Male,Gold ,Hungary,Men's 200m Butterfly,Swimming,../../../en/results/swimming/athlete-profile-n1365884-milak-kristof.htm
HONDA Tomoru,Male,Silver ,Japan,Men's 200m Butterfly,Swimming,../../../en/results/swimming/athlete-profile-n1315924-honda-tomoru.htm
BURDISSO Federico,Male,Bronze ,Italy,Men's 200m Butterfly,Swimming,../../../en/results/swimming/athlete-profile-n1350398-burdisso-federico.htm
SCOTT Duncan,Male,Gold ,Great Britain,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1444193-scott-duncan.htm
DEAN Tom,Male,Gold ,Great Britain,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1444167-dean-tom.htm
JARVIS Calum,Male,Gold ,Great Britain,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1444175-jarvis-calum.htm
GUY James,Male,Gold ,Great Britain,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1444170-guy-james.htm
RICHARDS Matthew,Male,Gold ,Great Britain,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1665976-richards-matthew.htm
RYLOV Evgeny,Male,Silver ,ROC,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1431532-rylov-evgeny.htm
VEKOVISHCHEV Mikhail,Male,Silver ,ROC,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1431634-vekovishchev-mikhail.htm
GIREV Ivan,Male,Silver ,ROC,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1431493-girev-ivan.htm
DOVGALYUK Mikhail,Male,Silver ,ROC,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1431496-dovgalyuk-mikhail.htm
KRASNYKH Aleksandr,Male,Silver ,ROC,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1431510-krasnykh-aleksandr.htm
MALYUTIN Martin,Male,Silver ,ROC,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1431518-malyutin-martin.htm
WINNINGTON Elijah,Male,Bronze ,Australia,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482901-winnington-elijah.htm
INCERTI Zac,Male,Bronze ,Australia,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482856-incerti-zac.htm
GRAHAM Alexander,Male,Bronze ,Australia,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482864-graham-alexander.htm
HORTON Mack,Male,Bronze ,Australia,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482865-horton-mack.htm
CHALMERS Kyle,Male,Bronze ,Australia,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482862-chalmers-kyle.htm
NEILL Thomas,Male,Bronze ,Australia,Men's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482918-neill-thomas.htm
LEDECKY Kathleen,Female,Gold ,United States of America,Women's 1500m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1302300-ledecky-kathleen.htm
SULLIVAN Erica,Female,Silver ,United States of America,Women's 1500m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1302266-sullivan-erica.htm
KOHLER Sarah,Female,Bronze ,Germany,Women's 1500m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1350546-kohler-sarah.htm
TITMUS Ariarne,Female,Gold ,Australia,Women's 200m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1482877-titmus-ariarne.htm
HAUGHEY Siobhan Bernadette,Female,Silver ,"Hong Kong, China",Women's 200m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1419400-haughey-siobhan-bernadette.htm
OLEKSIAK Penny,Female,Bronze ,Canada,Women's 200m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1459677-oleksiak-penny.htm
OHASHI Yui,Female,Gold ,Japan,Women's 200m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1315967-ohashi-yui.htm
WALSH Alex,Female,Silver ,United States of America,Women's 200m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1302232-walsh-alex.htm
DOUGLASS Kate,Female,Bronze ,United States of America,Women's 200m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1302298-douglass-kate.htm
SHI Zhiyong,Male,Gold ,People's Republic of China,Men's 73kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1342363-shi-zhiyong.htm
MAYORA PERNIA Julio Ruben,Male,Silver ,Venezuela,Men's 73kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1325720-mayora-pernia-julio-ruben.htm
ABDULLAH Rahmat Erwin,Male,Bronze ,Indonesia,Men's 73kg,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1321507-abdullah-rahmat-erwin.htm
LEE Sunisa,Female,Gold ,United States of America,Women's All-Around,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1348724-lee-sunisa.htm
ANDRADE Rebeca,Female,Silver ,Brazil,Women's All-Around,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1335261-andrade-rebeca.htm
MELNIKOVA Angelina,Female,Bronze ,ROC,Women's All-Around,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1406270-melnikova-angelina.htm
FOX Jessica,Female,Gold ,Australia,Women's Canoe,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1348917-fox-jessica.htm
FRANKLIN Mallory,Female,Silver ,Great Britain,Women's Canoe,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1440112-franklin-mallory.htm
HERZOG Andrea,Female,Bronze ,Germany,Women's Canoe,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1333390-herzog-andrea.htm
DERIGLAZOVA Inna,Female,Gold ,ROC,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1428168-deriglazova-inna.htm
ZAGIDULLINA Adelina,Female,Gold ,ROC,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1428169-zagidullina-adelina.htm
KOROBEYNIKOVA Larisa,Female,Gold ,ROC,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1428173-korobeynikova-larisa.htm
MARTYANOVA Marta,Female,Gold ,ROC,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1428174-martyanova-marta.htm
BLAZE Anita,Female,Silver ,France,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1351040-blaze-anita.htm
GUYART Astrid,Female,Silver ,France,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1351043-guyart-astrid.htm
RANVIER Pauline,Female,Silver ,France,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1351045-ranvier-pauline.htm
THIBUS Ysaora,Female,Silver ,France,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1351046-thibus-ysaora.htm
VOLPI Alice,Female,Bronze ,Italy,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1398549-volpi-alice.htm
ERRIGO Arianna,Female,Bronze ,Italy,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1312461-errigo-arianna.htm
BATINI Martina,Female,Bronze ,Italy,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1312463-batini-martina.htm
CIPRESSA Erica,Female,Bronze ,Italy,Women's Foil Team,Fencing,../../../en/results/fencing/athlete-profile-n1312465-cipressa-erica.htm
WOLF Aaron,Male,Gold ,Japan,Men -100 kg,Judo,../../../en/results/judo/athlete-profile-n1315337-wolf-aaron.htm
CHO Guham,Male,Silver ,Republic of Korea,Men -100 kg,Judo,../../../en/results/judo/athlete-profile-n1323216-cho-guham.htm
ILIASOV Niiaz,Male,Bronze ,ROC,Men -100 kg,Judo,../../../en/results/judo/athlete-profile-n1439721-iliasov-niiaz.htm
FONSECA Jorge,Male,Bronze ,Portugal,Men -100 kg,Judo,../../../en/results/judo/athlete-profile-n1465988-fonseca-jorge.htm
HAMADA Shori,Female,Gold ,Japan,Women -78 kg,Judo,../../../en/results/judo/athlete-profile-n1315330-hamada-shori.htm
MALONGA Madeleine,Female,Silver ,France,Women -78 kg,Judo,../../../en/results/judo/athlete-profile-n1403700-malonga-madeleine.htm
AGUIAR Mayra,Female,Bronze ,Brazil,Women -78 kg,Judo,../../../en/results/judo/athlete-profile-n1338146-aguiar-mayra.htm
WAGNER Anna-Maria,Female,Bronze ,Germany,Women -78 kg,Judo,../../../en/results/judo/athlete-profile-n1326845-wagner-anna-maria.htm
Mc CARTHY Fintan,Male,Gold ,Ireland,Lightweight Men's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1281625-mc-carthy-fintan.htm
O'DONOVAN Paul,Male,Gold ,Ireland,Lightweight Men's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1319846-o-donovan-paul.htm
ROMMELMANN Jonathan,Male,Silver ,Germany,Lightweight Men's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1331598-rommelmann-jonathan.htm
OSBORNE Jason,Male,Silver ,Germany,Lightweight Men's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1331591-osborne-jason.htm
OPPO Stefano,Male,Bronze ,Italy,Lightweight Men's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1321393-oppo-stefano.htm
RUTA Pietro,Male,Bronze ,Italy,Lightweight Men's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1321413-ruta-pietro.htm
CESARINI Federica,Female,Gold ,Italy,Lightweight Women's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1321401-cesarini-federica.htm
RODINI Valentina,Female,Gold ,Italy,Lightweight Women's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1321403-rodini-valentina.htm
BOVE Claire,Female,Silver ,France,Lightweight Women's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1325549-bove-claire.htm
TARANTOLA Laura,Female,Silver ,France,Lightweight Women's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1325578-tarantola-laura.htm
KEIJSER Marieke,Female,Bronze ,Netherlands,Lightweight Women's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1476561-keijser-marieke.htm
PAULIS Ilse,Female,Bronze ,Netherlands,Lightweight Women's Double Sculls,Rowing,../../../en/results/rowing/athlete-profile-n1476568-paulis-ilse.htm
SINKOVIC Martin,Male,Gold ,Croatia,Men's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1327804-sinkovic-martin.htm
SINKOVIC Valent,Male,Gold ,Croatia,Men's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1456414-sinkovic-valent.htm
COZMIUC Marius,Male,Silver ,Romania,Men's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1285995-cozmiuc-marius.htm
TUDOSA Ciprian,Male,Silver ,Romania,Men's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1286099-tudosa-ciprian.htm
VYSTAVEL Frederic,Male,Bronze ,Denmark,Men's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1366761-vystavel-frederic.htm
SUTTON Joachim,Male,Bronze ,Denmark,Men's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1366762-sutton-joachim.htm
PRENDERGAST Grace,Female,Gold ,New Zealand,Women's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1462962-prendergast-grace.htm
GOWLER Kerri,Female,Gold ,New Zealand,Women's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1462923-gowler-kerri.htm
ORIABINSKAIA Elena,Female,Silver ,ROC,Women's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1435251-oriabinskaia-elena.htm
STEPANOVA Vasilisa,Female,Silver ,ROC,Women's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1435265-stepanova-vasilisa.htm
JANSSENS Hillary,Female,Bronze ,Canada,Women's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1433265-janssens-hillary.htm
FILMER Caileigh,Female,Bronze ,Canada,Women's Pair,Rowing,../../../en/results/rowing/athlete-profile-n1433259-filmer-caileigh.htm
LIPTAK Jiri,Male,Gold ,Czech Republic,Trap Men,Shooting,../../../en/results/shooting/athlete-profile-n1408572-liptak-jiri.htm
KOSTELECKY David,Male,Silver ,Czech Republic,Trap Men,Shooting,../../../en/results/shooting/athlete-profile-n1408571-kostelecky-david.htm
COWARD HOLLEY Matthew John,Male,Bronze ,Great Britain,Trap Men,Shooting,../../../en/results/shooting/athlete-profile-n1459202-coward-holley-matthew-john.htm
REHAK STEFECEKOVA Zuzana,Female,Gold ,Slovakia,Trap Women,Shooting,../../../en/results/shooting/athlete-profile-n1379850-rehak-stefecekova-zuzana.htm
BROWNING Kayle,Female,Silver ,United States of America,Trap Women,Shooting,../../../en/results/shooting/athlete-profile-n1335367-browning-kayle.htm
PERILLI Alessandra,Female,Bronze ,San Marino,Trap Women,Shooting,../../../en/results/shooting/athlete-profile-n1291695-perilli-alessandra.htm
DRESSEL Caeleb,Male,Gold ,United States of America,Men's 100m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1302244-dressel-caeleb.htm
CHALMERS Kyle,Male,Silver ,Australia,Men's 100m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1482862-chalmers-kyle.htm
KOLESNIKOV Kliment,Male,Bronze ,ROC,Men's 100m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1431507-kolesnikov-kliment.htm
STUBBLETY-COOK Izaac,Male,Gold ,Australia,Men's 200m Breaststroke,Swimming,../../../en/results/swimming/athlete-profile-n1482875-stubblety-cook-izaac.htm
KAMMINGA Arno,Male,Silver ,Netherlands,Men's 200m Breaststroke,Swimming,../../../en/results/swimming/athlete-profile-n1467428-kamminga-arno.htm
MATTSSON Matti,Male,Bronze ,Finland,Men's 200m Breaststroke,Swimming,../../../en/results/swimming/athlete-profile-n1308801-mattsson-matti.htm
FINKE Robert,Male,Gold ,United States of America,Men's 800m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1302442-finke-robert.htm
PALTRINIERI Gregorio,Male,Silver ,Italy,Men's 800m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1343289-paltrinieri-gregorio.htm
ROMANCHUK Mykhailo,Male,Bronze ,Ukraine,Men's 800m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1451911-romanchuk-mykhailo.htm
ZHANG Yufei,Female,Gold ,People's Republic of China,Women's 200m Butterfly,Swimming,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm
SMITH Regan,Female,Silver ,United States of America,Women's 200m Butterfly,Swimming,../../../en/results/swimming/athlete-profile-n1302447-smith-regan.htm
FLICKINGER Hali,Female,Bronze ,United States of America,Women's 200m Butterfly,Swimming,../../../en/results/swimming/athlete-profile-n1302275-flickinger-hali.htm
YANG Junxuan,Female,Gold ,People's Republic of China,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1310752-yang-junxuan.htm
ZHANG Yufei,Female,Gold ,People's Republic of China,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm
DONG Jie,Female,Gold ,People's Republic of China,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1312611-dong-jie.htm
ZHANG Yifan,Female,Gold ,People's Republic of China,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1312640-zhang-yifan.htm
TANG Muhan,Female,Gold ,People's Republic of China,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1315010-tang-muhan.htm
LI Bingjie,Female,Gold ,People's Republic of China,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1311341-li-bingjie.htm
MADDEN Paige,Female,Silver ,United States of America,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302440-madden-paige.htm
Mc LAUGHLIN Kathryn,Female,Silver ,United States of America,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302302-mc-laughlin-kathryn.htm
SIMS Arabella,Female,Silver ,United States of America,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1393808-sims-arabella.htm
LEDECKY Kathleen,Female,Silver ,United States of America,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302300-ledecky-kathleen.htm
FORDE Brooke,Female,Silver ,United States of America,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302237-forde-brooke.htm
SCHMITT Allison,Female,Silver ,United States of America,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302228-schmitt-allison.htm
THROSSELL Brianna,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482878-throssell-brianna.htm
WILSON Madison,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482879-wilson-madison.htm
O'CALLAGHAN Mollie,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482917-o-callaghan-mollie.htm
COOK Tamsin,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1699090-cook-tamsin.htm
HARRIS Meg,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482907-harris-meg.htm
TITMUS Ariarne,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482877-titmus-ariarne.htm
NEALE Leah,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482874-neale-leah.htm
McKEON Emma,Female,Bronze ,Australia,Women's 4 x 200m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm
CHEN Meng,Female,Gold ,People's Republic of China,Women's Singles,Table Tennis,../../../en/results/table-tennis/athlete-profile-n1322041-chen-meng.htm
SUN Yingsha,Female,Silver ,People's Republic of China,Women's Singles,Table Tennis,../../../en/results/table-tennis/athlete-profile-n1322049-sun-yingsha.htm
ITO Mima,Female,Bronze ,Japan,Women's Singles,Table Tennis,../../../en/results/table-tennis/athlete-profile-n1316127-ito-mima.htm
AN San,Female,Gold ,Republic of Korea,Women's Individual,Archery,../../../en/results/archery/athlete-profile-n1338248-an-san.htm
OSIPOVA Elena,Female,Silver ,ROC,Women's Individual,Archery,../../../en/results/archery/athlete-profile-n1431749-osipova-elena.htm
BOARI Lucilla,Female,Bronze ,Italy,Women's Individual,Archery,../../../en/results/archery/athlete-profile-n1413342-boari-lucilla.htm
BAREGA Selemon,Male,Gold ,Ethiopia,"Men's 10,000m",Athletics,../../../en/results/athletics/athlete-profile-n1351995-barega-selemon.htm
CHEPTEGEI Joshua,Male,Silver ,Uganda,"Men's 10,000m",Athletics,../../../en/results/athletics/athlete-profile-n1450695-cheptegei-joshua.htm
KIPLIMO Jacob,Male,Bronze ,Uganda,"Men's 10,000m",Athletics,../../../en/results/athletics/athlete-profile-n1450741-kiplimo-jacob.htm
WANG Yi Lyu,Mixed,Gold ,People's Republic of China,Mixed Doubles,Badminton,../../../en/results/badminton/athlete-profile-n1350344-wang-yi-lyu.htm
HUANG Dong Ping,Mixed,Gold ,People's Republic of China,Mixed Doubles,Badminton,../../../en/results/badminton/athlete-profile-n1350347-huang-dong-ping.htm
ZHENG Si Wei,Mixed,Silver ,People's Republic of China,Mixed Doubles,Badminton,../../../en/results/badminton/athlete-profile-n1350332-zheng-si-wei.htm
HUANG Ya Qiong,Mixed,Silver ,People's Republic of China,Mixed Doubles,Badminton,../../../en/results/badminton/athlete-profile-n1350338-huang-ya-qiong.htm
WATANABE Yuta,Mixed,Bronze ,Japan,Mixed Doubles,Badminton,../../../en/results/badminton/athlete-profile-n1313474-watanabe-yuta.htm
HIGASHINO Arisa,Mixed,Bronze ,Japan,Mixed Doubles,Badminton,../../../en/results/badminton/athlete-profile-n1313496-higashino-arisa.htm
PRSKAVEC Jiri,Male,Gold ,Czech Republic,Men's Kayak,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1402115-prskavec-jiri.htm
GRIGAR Jakub,Male,Silver ,Slovakia,Men's Kayak,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1387283-grigar-jakub.htm
AIGNER Hannes,Male,Bronze ,Germany,Men's Kayak,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1333386-aigner-hannes.htm
KIMMANN Niek,Male,Gold ,Netherlands,Men,Cycling BMX Racing,../../../en/results/cycling-bmx-racing/athlete-profile-n1467925-kimmann-niek.htm
WHYTE Kye,Male,Silver ,Great Britain,Men,Cycling BMX Racing,../../../en/results/cycling-bmx-racing/athlete-profile-n1474981-whyte-kye.htm
RAMIREZ YEPES Carlos Alberto,Male,Bronze ,Colombia,Men,Cycling BMX Racing,../../../en/results/cycling-bmx-racing/athlete-profile-n1379634-ramirez-yepes-carlos-alberto.htm
SHRIEVER Bethany,Female,Gold ,Great Britain,Women,Cycling BMX Racing,../../../en/results/cycling-bmx-racing/athlete-profile-n1474974-shriever-bethany.htm
PAJON Mariana,Female,Silver ,Colombia,Women,Cycling BMX Racing,../../../en/results/cycling-bmx-racing/athlete-profile-n1379630-pajon-mariana.htm
SMULDERS Merel,Female,Bronze ,Netherlands,Women,Cycling BMX Racing,../../../en/results/cycling-bmx-racing/athlete-profile-n1467951-smulders-merel.htm
MINOBE Kazuyasu,Male,Gold ,Japan,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1315113-minobe-kazuyasu.htm
KANO Koki,Male,Gold ,Japan,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1315114-kano-koki.htm
YAMADA Masaru,Male,Gold ,Japan,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1315115-yamada-masaru.htm
UYAMA Satoru,Male,Gold ,Japan,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1315116-uyama-satoru.htm
BIDA Sergey,Male,Silver ,ROC,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1428184-bida-sergey.htm
KHODOS Sergey,Male,Silver ,ROC,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1428185-khodos-sergey.htm
SUKHOV Pavel,Male,Silver ,ROC,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1428186-sukhov-pavel.htm
GLAZKOV Nikita,Male,Silver ,ROC,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1428187-glazkov-nikita.htm
KWEON Youngjun,Male,Bronze ,Republic of Korea,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1407976-kweon-youngjun.htm
PARK Sangyoung,Male,Bronze ,Republic of Korea,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1335656-park-sangyoung.htm
MA Segeon,Male,Bronze ,Republic of Korea,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1335658-ma-segeon.htm
SONG Jaeho,Male,Bronze ,Republic of Korea,Men's Team,Fencing,../../../en/results/fencing/athlete-profile-n1335660-song-jaeho.htm
KRPALEK Lukas,Male,Gold ,Czech Republic,Men +100 kg,Judo,../../../en/results/judo/athlete-profile-n1408640-krpalek-lukas.htm
TUSHISHVILI Guram,Male,Silver ,Georgia,Men +100 kg,Judo,../../../en/results/judo/athlete-profile-n1286158-tushishvili-guram.htm
RINER Teddy,Male,Bronze ,France,Men +100 kg,Judo,../../../en/results/judo/athlete-profile-n1403689-riner-teddy.htm
BASHAEV Tamerlan,Male,Bronze ,ROC,Men +100 kg,Judo,../../../en/results/judo/athlete-profile-n1439725-bashaev-tamerlan.htm
SONE Akira,Female,Gold ,Japan,Women +78 kg,Judo,../../../en/results/judo/athlete-profile-n1315332-sone-akira.htm
ORTIZ Idalys,Female,Silver ,Cuba,Women +78 kg,Judo,../../../en/results/judo/athlete-profile-n1314715-ortiz-idalys.htm
DICKO Romane,Female,Bronze ,France,Women +78 kg,Judo,../../../en/results/judo/athlete-profile-n1403706-dicko-romane.htm
KINDZERSKA Iryna,Female,Bronze ,Azerbaijan,Women +78 kg,Judo,../../../en/results/judo/athlete-profile-n1341371-kindzerska-iryna.htm
BOND Hamish,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462911-bond-hamish.htm
BOSWORTH Sam,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462914-bosworth-sam.htm
BRAKE Michael,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462915-brake-michael.htm
KIRKHAM Shaun,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462934-kirkham-shaun.htm
MACDONALD Matt,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462939-macdonald-matt.htm
MACKINTOSH Thomas,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462943-mackintosh-thomas.htm
MURRAY Tom,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462956-murray-tom.htm
WILLIAMSON Daniel,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462986-williamson-daniel.htm
WILSON Phillip,Male,Gold ,New Zealand,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1462987-wilson-phillip.htm
FOLLERT Laurits,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331563-follert-laurits.htm
JAKSCHIK Malte,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331578-jakschik-malte.htm
JOHANNESEN Torben,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331579-johannesen-torben.htm
OCIK Hannes,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331589-ocik-hannes.htm
SAUER Martin,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331599-sauer-martin.htm
SCHMIDT Richard,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331601-schmidt-richard.htm
SCHNEIDER Jakob,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331602-schneider-jakob.htm
WEISSENFELD Johannes,Male,Silver ,Germany,Men's Eight,Rowing,../../../en/results/rowing/athlete-profile-n1331608-weissenfeld-johannes.htm
