name,gender,medal_type,country,event,discipline,url
OSIPOVA Elena,Female,Silver ,ROC,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1431749-osipova-elena.htm
PEROVA Ksenia,Female,Silver ,ROC,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1431750-perova-ksenia.htm
GOMBOEVA Svetlana,Female,Silver ,ROC,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1431746-gomboeva-svetlana.htm
SCHWARZ Charline,Female,Bronze ,Germany,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1395737-schwarz-charline.htm
UNRUH Lisa,Female,Bronze ,Germany,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1334159-unruh-lisa.htm
KROPPEN Michelle,Female,Bronze ,Germany,Women's Team,Archery,../../../en/results/archery/athlete-profile-n1334170-kroppen-michelle.htm
KIESENHOFER Anna,Female,Gold ,Austria,Women's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1334466-kiesenhofer-anna.htm
van VLEUTEN Annemiek,Female,Silver ,Netherlands,Women's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1467954-van-vleuten-annemiek.htm
LONGO BORGHINI Elisa,Female,Bronze ,Italy,Women's Road Race,Cycling Road,../../../en/results/cycling-road/athlete-profile-n1404048-longo-borghini-elisa.htm
WANG Han,Female,Gold ,People's Republic of China,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1329498-wang-han.htm
SHI Tingmao,Female,Gold ,People's Republic of China,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1329428-shi-tingmao.htm
ABEL Jennifer,Female,Silver ,Canada,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1469699-abel-jennifer.htm
CITRINI BEAULIEU Melissa,Female,Silver ,Canada,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1469703-citrini-beaulieu-melissa.htm
HENTSCHEL Lena,Female,Bronze ,Germany,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1350631-hentschel-lena.htm
PUNZEL Tina,Female,Bronze ,Germany,Women's Synchronised 3m Springboard,Diving,../../../en/results/diving/athlete-profile-n1350640-punzel-tina.htm
CANNONE Romain,Male,Gold ,France,Men's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1351036-cannone-romain.htm
SIKLOSI Gergely,Male,Silver ,Hungary,Men's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1343525-siklosi-gergely.htm
REIZLIN Igor,Male,Bronze ,Ukraine,Men's Individual,Fencing,../../../en/results/fencing/athlete-profile-n1483691-reizlin-igor.htm
KIEFER Lee,Female,Gold ,United States of America,Women's Foil Individual,Fencing,../../../en/results/fencing/athlete-profile-n1310067-kiefer-lee.htm
DERIGLAZOVA Inna,Female,Silver ,ROC,Women's Foil Individual,Fencing,../../../en/results/fencing/athlete-profile-n1428168-deriglazova-inna.htm
KOROBEYNIKOVA Larisa,Female,Bronze ,ROC,Women's Foil Individual,Fencing,../../../en/results/fencing/athlete-profile-n1428173-korobeynikova-larisa.htm
ABE Hifumi,Male,Gold ,Japan,Men -66 kg,Judo,../../../en/results/judo/athlete-profile-n1315347-abe-hifumi.htm
MARGVELASHVILI Vazha,Male,Silver ,Georgia,Men -66 kg,Judo,../../../en/results/judo/athlete-profile-n1285222-margvelashvili-vazha.htm
AN Baul,Male,Bronze ,Republic of Korea,Men -66 kg,Judo,../../../en/results/judo/athlete-profile-n1323211-an-baul.htm
CARGNIN Daniel,Male,Bronze ,Brazil,Men -66 kg,Judo,../../../en/results/judo/athlete-profile-n1338108-cargnin-daniel.htm
ABE Uta,Female,Gold ,Japan,Women -52 kg,Judo,../../../en/results/judo/athlete-profile-n1315319-abe-uta.htm
BUCHARD Amandine,Female,Silver ,France,Women -52 kg,Judo,../../../en/results/judo/athlete-profile-n1403693-buchard-amandine.htm
GILES Chelsie,Female,Bronze ,Great Britain,Women -52 kg,Judo,../../../en/results/judo/athlete-profile-n1440150-giles-chelsie.htm
GIUFFRIDA Odette,Female,Bronze ,Italy,Women -52 kg,Judo,../../../en/results/judo/athlete-profile-n1351014-giuffrida-odette.htm
BATSARASHKINA Vitalina,Female,Gold ,ROC,10m Air Pistol Women,Shooting,../../../en/results/shooting/athlete-profile-n1428779-batsarashkina-vitalina.htm
KOSTADINOVA Antoaneta,Female,Silver ,Bulgaria,10m Air Pistol Women,Shooting,../../../en/results/shooting/athlete-profile-n1328491-kostadinova-antoaneta.htm
JIANG Ranxin,Female,Bronze ,People's Republic of China,10m Air Pistol Women,Shooting,../../../en/results/shooting/athlete-profile-n1302200-jiang-ranxin.htm
SHANER William,Male,Gold ,United States of America,10m Air Rifle Men,Shooting,../../../en/results/shooting/athlete-profile-n1335416-shaner-william.htm
SHENG Lihao,Male,Silver ,People's Republic of China,10m Air Rifle Men,Shooting,../../../en/results/shooting/athlete-profile-n1405181-sheng-lihao.htm
YANG Haoran,Male,Bronze ,People's Republic of China,10m Air Rifle Men,Shooting,../../../en/results/shooting/athlete-profile-n1302169-yang-haoran.htm
HORIGOME Yuto,Male,Gold ,Japan,Men's Street,Skateboarding,../../../en/results/skateboarding/athlete-profile-n1315701-horigome-yuto.htm
HOEFLER Kelvin,Male,Silver ,Brazil,Men's Street,Skateboarding,../../../en/results/skateboarding/athlete-profile-n1351775-hoefler-kelvin.htm
EATON Jagger,Male,Bronze ,United States of America,Men's Street,Skateboarding,../../../en/results/skateboarding/athlete-profile-n1342562-eaton-jagger.htm
HAFNAOUI Ahmed,Male,Gold ,Tunisia,Men's 400m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1404312-hafnaoui-ahmed.htm
McLOUGHLIN Jack,Male,Silver ,Australia,Men's 400m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1482871-mcloughlin-jack.htm
SMITH Kieran,Male,Bronze ,United States of America,Men's 400m Freestyle,Swimming,../../../en/results/swimming/athlete-profile-n1302304-smith-kieran.htm
KALISZ Chase,Male,Gold ,United States of America,Men's 400m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1302246-kalisz-chase.htm
LITHERLAND Jay,Male,Silver ,United States of America,Men's 400m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1302288-litherland-jay.htm
SMITH Brendon,Male,Bronze ,Australia,Men's 400m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1482899-smith-brendon.htm
CAMPBELL Cate,Female,Gold ,Australia,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482861-campbell-cate.htm
CAMPBELL Bronte,Female,Gold ,Australia,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482860-campbell-bronte.htm
McKEON Emma,Female,Gold ,Australia,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm
WILSON Madison,Female,Gold ,Australia,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482879-wilson-madison.htm
O'CALLAGHAN Mollie,Female,Gold ,Australia,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482917-o-callaghan-mollie.htm
HARRIS Meg,Female,Gold ,Australia,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1482907-harris-meg.htm
OLEKSIAK Penny,Female,Silver ,Canada,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1459677-oleksiak-penny.htm
SMITH Rebecca,Female,Silver ,Canada,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1459679-smith-rebecca.htm
SANCHEZ Kayla,Female,Silver ,Canada,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1459675-sanchez-kayla.htm
MACNEIL Margaret,Female,Silver ,Canada,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1459652-macneil-margaret.htm
RUCK Taylor,Female,Silver ,Canada,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1459651-ruck-taylor.htm
BROWN Erika,Female,Bronze ,United States of America,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302262-brown-erika.htm
WEITZEIL Abbey,Female,Bronze ,United States of America,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302233-weitzeil-abbey.htm
de LOOF Catie,Female,Bronze ,United States of America,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302243-de-loof-catie.htm
SCHMITT Allison,Female,Bronze ,United States of America,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302228-schmitt-allison.htm
HINDS Natalie,Female,Bronze ,United States of America,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302332-hinds-natalie.htm
SMOLIGA Olivia,Female,Bronze ,United States of America,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302335-smoliga-olivia.htm
MANUEL Simone,Female,Bronze ,United States of America,Women's 4 x 100m Freestyle Relay,Swimming,../../../en/results/swimming/athlete-profile-n1302452-manuel-simone.htm
OHASHI Yui,Female,Gold ,Japan,Women's 400m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1315967-ohashi-yui.htm
WEYANT Emma,Female,Silver ,United States of America,Women's 400m Individual Medley,Swimming,../../../en/results/swimming/athlete-profile-n1302268-weyant-emma.htm
