name,gender,country,country_code,discipline,url,name_length
ABE Hifumi,Male,Japan,JPN,Judo,../../../en/results/judo/athlete-profile-n1315347-abe-hifumi.htm,10
ABE Takatoshi,Male,Japan,JPN,Athletics,../../../en/results/athletics/athlete-profile-n1319304-abe-takatoshi.htm,13
ABE Uta,Female,Japan,JPN,Judo,../../../en/results/judo/athlete-profile-n1315319-abe-uta.htm,7
ABEBE Mekides,Female,Ethiopia,ETH,Athletics,../../../en/results/athletics/athlete-profile-n1450589-abebe-mekides.htm,13
ABEDINI Mojtaba,Male,Islamic Republic of Iran,IRI,Fencing,../../../en/results/fencing/athlete-profile-n1289091-abedini-mojtaba.htm,15
ABEL Jennifer,Female,Canada,CAN,Diving,../../../en/results/diving/athlete-profile-n1469699-abel-jennifer.htm,13
ABELA Matthew,Male,Malta,MLT,Badminton,../../../en/results/badminton/athlete-profile-n1284065-abela-matthew.htm,13
ABELVIK ROED Magnus,Male,Norway,NOR,Handball,../../../en/results/handball/athlete-profile-n1343652-abelvik-roed-magnus.htm,19
ABEYSINGHE Matthew,Male,Sri Lanka,SRI,Swimming,../../../en/results/swimming/athlete-profile-n1457675-abeysinghe-matthew.htm,18
ABIAN Pablo,Male,Spain,ESP,Badminton,../../../en/results/badminton/athlete-profile-n1354754-abian-pablo.htm,11
ABICHA Mohammed,Male,Morocco,MAR,Beach Volleyball,../../../en/results/beach-volleyball/athlete-profile-n1428701-abicha-mohammed.htm,15
ABICHT Lorena,Female,Austria,AUT,Sailing,../../../en/results/sailing/athlete-profile-n1330779-abicht-lorena.htm,13
ABIDINE Abidine,Male,Mauritania,MTN,Athletics,../../../en/results/athletics/athlete-profile-n1307563-abidine-abidine.htm,15
ABLIAZIN Denis,Male,ROC,ROC,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm,14
ABNER,Male,Brazil,BRA,Football,../../../en/results/football/athlete-profile-n1351464-abner.htm,5
ABOUD Hadel,Female,Libya,LBA,Athletics,../../../en/results/athletics/athlete-profile-n1518857-aboud-hadel.htm,11
ABOUELKASSEM Alaaeldin,Male,Egypt,EGY,Fencing,../../../en/results/fencing/athlete-profile-n1321978-abouelkassem-alaaeldin.htm,22
ABOUKE Nancy Genzel,Female,Nauru,NRU,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1478734-abouke-nancy-genzel.htm,19
ABRAHAM Tadesse,Male,Switzerland,SUI,Athletics,../../../en/results/athletics/athlete-profile-n1465453-abraham-tadesse.htm,15
ABRAHAMS Rusten John,Male,South Africa,RSA,Hockey,../../../en/results/hockey/athlete-profile-n1337650-abrahams-rusten-john.htm,20
ABRAMS Aliyah,Female,Guyana,GUY,Athletics,../../../en/results/athletics/athlete-profile-n1334678-abrams-aliyah.htm,13
ABRAMS Jasmine,Female,Guyana,GUY,Athletics,../../../en/results/athletics/athlete-profile-n1459262-abrams-jasmine.htm,14
ABRAMYAN Benik,Male,Georgia,GEO,Athletics,../../../en/results/athletics/athlete-profile-n1313358-abramyan-benik.htm,14
ABREU Diogo,Male,Portugal,POR,Trampoline Gymnastics,../../../en/results/trampoline-gymnastics/athlete-profile-n1449935-abreu-diogo.htm,11
ABRINES Alex,Male,Spain,ESP,Basketball,../../../en/results/basketball/athlete-profile-n1765160-abrines-alex.htm,12
ABROSIMOV Kirill,Male,ROC,ROC,Marathon Swimming,../../../en/results/marathon-swimming/athlete-profile-n1431408-abrosimov-kirill.htm,16
ABU RABEE Asma,Female,Jordan,JOR,Shooting,../../../en/results/shooting/athlete-profile-n1849510-abu-rabee-asma.htm,14
ABU RMILAH Wesam,Male,Palestine,PLE,Judo,../../../en/results/judo/athlete-profile-n1884707-abu-rmilah-wesam.htm,16
ABUAKU Joshua,Male,Germany,GER,Athletics,../../../en/results/athletics/athlete-profile-n1347019-abuaku-joshua.htm,13
ABUJBARA Tala,Female,Qatar,QAT,Rowing,../../../en/results/rowing/athlete-profile-n1325069-abujbara-tala.htm,13
ACERENZA Domenico,Male,Italy,ITA,Swimming,../../../en/results/swimming/athlete-profile-n1350377-acerenza-domenico.htm,17
ACETI Vladimir,Male,Italy,ITA,Athletics,../../../en/results/athletics/athlete-profile-n1295011-aceti-vladimir.htm,14
ACEVEDO Javier,Male,Canada,CAN,Swimming,../../../en/results/swimming/athlete-profile-n1459647-acevedo-javier.htm,14
